ClubId,ClubName,District,Division,Area,Prospective,Street,City,Postcode,Longitude,Latitude,CountryName,CharterDate,Location,MeetingDay,MeetingTime,FacebookLink,Website,OnlineAttendance
4,Enniscorthy Toastmasters Club,71,D,50,false,IFA Centre,Enniscorthy,Y21T2F4,-6.57,52.5,Ireland,1995-02-01,IFA Centre<br>Mill Park Road,Tuesdays,8:00 pm,https://www.facebook.com/Enniscorthy-Toastmasters-129333810455771/,http://www.enniscorthytoastmasters.com/,false
889,East Coast Club,71,C,10,false,"Brackenstown Village , Windmill Lands, Swords",Co Dublin,K67FK22,-6.24,53.46,Ireland,1994-12-01,"St Cronins Parish Hall, Swords<br>Online - Zoom ",Alternate Thursdays,8.00 pm,https://www.facebook.com/EastCoastToastmasters/,"    https://889.toastmastersclubs.org",true
1292,Norwich Speakers Club,71,H,25,false,"10 The Lastings, , Hall Road, ",Norwich,NR4 6ET,1.29,52.61,United Kingdom,1992-01-01,The Harford Community Centre,"Alternate Thursday, Face-to-Face",7:15 pm,https://www.facebook.com/groups/norwichspeakersclub/?ref=share,https://www.norwichspeakersclub.com/,false
1753,Swords Toastmasters,71,C,10,false,"FORREST ROAD , Swords,",Co Dublin,K67K825,-6.24,53.45,Ireland,1995-05-01,"FORREST LITTLE GOLF CLUB<br>FORREST ROAD, SWORDS, COUNTY DUBLIN. ","Monday, every forthnight",8:00 pm,https://www.facebook.com/SwordsToastmasters,http://www.swordstoastmasters.ie/,false
1868,Cork Toastmasters Club,71,A,23,false,"MacCurtain Street, Cork",Cork,T23   EEC3,-8.47,51.9,Ireland,1967-04-01,"The Metropole Hotel <br>MacCurtain Street, Cork","September to May, alternating Tuesdays",8:00 pm,https://www.facebook.com/corktoastmasters,http://www.corktoastmasters.org/,false
1896,Lucan Club,71,M,26,false,Lucan,Co Dublin,W23 W280,-6.45,53.36,Ireland,1983-03-01,Springfield Hotel<br>Dublin Road,1st and 3rd Thursday of each month,8:00 pm,https://www.facebook.com/lucan.toastmasters,http://www.lucantoastmasters.com/,false
2033,Lagan Valley Toastmasters,71,F,04,false,"Lagan Valley Island,, Island Civic Centre",Lisburn,BT27 4RL,-6.04,54.51,United Kingdom,2001-09-28,"Civic Centre Lisburn, Oak room<br>2nd Floor",1st & 3rd Wednesday,6:45 pm-8.30 pm,https://www.facebook.com/LaganValleyToastmasters?fref=ts,https://www.laganvalleytoastmasters.com/,false
2360,Malahide Club,71,C,10,false,Malahide,Co. Dublin,K36XT65,-6.15,53.45,Ireland,1981-02-01,The Grand Hotel,2nd & 4th Wednesday (Sept - June),8:00 pm,https://www.facebook.com/MalahideToastmasters,http://malahidetoastmasters.com/,false
2601,Dublin Club,71,M,02,false,Molesworth Street,Dublin,D2,-6.26,53.34,Ireland,1959-04-01,Buswells Hotel,Thursday,7:30 pm for 7:45 pm,https://www.facebook.com/dublintoastmasters/,http://www.dublintoastmasters.ie/,false
2650,Brandon Speakers Club,71,H,25,false,High Street,Brandon,IP27 0AX,0.62,52.45,United Kingdom,2001-04-04,Ram Hotel,2nd & 4th Wednesday,7 pm,https://www.facebook.com/groups/56105639951,http://www.d71.org/,false
2846,Fermoy Toastmasters Club,71,A,17,false,Ashe Quay,Fermoy,,-8.28,52.14,Ireland,1970-05-01,Youth Centre,Alternative Tuesday,8:15 pm,,http://www.fermoytoastmasters.com/,false
2989,Shannon Toastmasters Club,71,D,13,false,"Treacys Oakwood Hotel, Shannon",Co. Clare,V14 NH97,-8.87,52.71,Ireland,1996-09-01,"Treacys Oakwood Hotel<br>Shannon, Co. Clare",1st & 3rd Wednesday,7.50pm,http://facebook.com/shannontoastmasters,,false
3103,Eblana Toastmasters,71,M,02,false,17-19 Molesworth Street,"Dublin ","D02 HK50 ",-6.26,53.34,Ireland,1960-01-01,"Freemasons' Hall, 17 Molesworth Street, <br>Dublin 2, D02 HK50, Ireland.",1st & 3rd Thursday (Sept-May),6:30 p.m.,,https://eblanadublin.toastmastersclubs.org/,false
3141,Tara Toastmasters,71,M,54,false," N11, Stillorgan",Dublin,,-6.16,53.27,Ireland,1985-12-01,"Talbot Hotel Stillorgan ","1st, 3rd Thursday",8:00 pm,https://www.facebook.com/taratoastmasters,http://www.taratoastmasters.ie,false
3300,Talking Heads Club,71,A,03,false,"garrymore, killeag",cork,,-8,51.92,Ireland,1990-04-01,Garryvoe Hotel,Alternate Tuesday,8:00 pm,,,false
3360,Ennis Toastmasters Club,71,D,13,false,"Arthurs Row, Friars Walk",ENNIS,V95 HOXK,-8.98,52.84,Ireland,1976-03-01,"TEMPLEGATE HOTEL<br>Place Saint-Paul-de-Fenouille, ","22 March, 5 & 19 April. 3, 17,&30 May'22",7:45pm for 8pm start,https://www.facebook.com/EnnisToastmasters,https://ennistoastmasters.toastmastersclubs.org/,false
3380,Anglia Communicators Club,71,H,14,false,Hampton,Peterborough,PE7 8BD,-0.26,52.54,United Kingdom,2002-12-17,Tesco Community Space<br>Serpentine Green Shopping Centre,2nd & 4th Monday (exc bank holidays),6:30 pm,https://www.facebook.com/Anglia-Communicators-Peterborough-Speakers-Club-of-Toastmasters-Intl-187571765143855/,http://www.angliacommunicators.club/,false
3452,Dun Laoghaire Club,71,M,05,false,"Killiney Shopping Centre, Rochestown Avenue","Killiney, Co Dublin",A96 KA09,-6.14,53.27,Ireland,1977-03-01,The Graduate <br>In person,Alternate Mondays,7.45 pm,https://www.facebook.com/dunlaoghairetoastmasters/?fref=ts,http://dunlaoghaire.toastmasterclub.org/,false
